Rt,Inst,home,an_inc,ver,pur,dti,del,pb_rc,rev_bal,rev_util,class
0.1171,248.07,MORTGAGE,50000,Source Verified,debt_consolidation,10.46,0,0,4813,0.617,Notpaid
0.1242,167.08,RENT,40000,Source Verified,debt_consolidation,7.35,0,0,973,0.278,Paid
0.079,1095.16,MORTGAGE,95000,Verified,debt_consolidation,8.79,0,0,31636,0.172,Paid
0.1065,215.69,OWN,100000,Source Verified,other,2.75,0,0,9274,0.314,Notpaid
0.1864,364.75,RENT,57000,Source Verified,debt_consolidation,21.15,0,0,2965,0.988,Paid
0.079,112.65,MORTGAGE,90000,Not Verified,other,16.28,0,0,12325,0.096,Paid
0.1596,196.77,RENT,48000,Source Verified,debt_consolidation,20.4,0,0,7653,0.269,Paid
0.1527,335.05,RENT,42000,Source Verified,debt_consolidation,21.91,0,0,2907,0.181,Paid
0.0662,232.59,MORTGAGE,21600,Verified,debt_consolidation,23.89,0,0,18050,0.587,Paid
0.079,736.11,MORTGAGE,62500,Verified,debt_consolidation,16.92,0,0,33475,0.82,Paid
0.079,312.91,RENT,54000,Not Verified,debt_consolidation,0.96,0,0,2445,0.188,Paid
0.1727,874.93,RENT,92000,Verified,debt_consolidation,14.22,0,0,38500,0.677,Paid
0.089,295.31,MORTGAGE,45760,Verified,debt_consolidation,3.65,0,0,6028,0.475,Paid
0.1269,234.82,OWN,38400,Source Verified,other,16.19,0,0,1425,0.445,Paid
0.1677,298.53,MORTGAGE,43200,Source Verified,debt_consolidation,21.39,1,0,3694,0.551,Paid
0.0603,517.41,MORTGAGE,70000,Not Verified,debt_consolidation,10.49,0,0,12120,0.405,Paid
0.1065,162.87,RENT,20000,Source Verified,debt_consolidation,7.32,1,0,3312,0.283,Paid
0.1942,523.45,MORTGAGE,75000,Verified,debt_consolidation,23.82,0,0,40882,0.551,Paid
0.1677,106.62,MORTGAGE,65000,Source Verified,major_purchase,16.63,0,0,14667,0.984,Paid
0.0603,365.23,OWN,42000,Source Verified,credit_card,22.11,0,0,10100,0.199,Paid
0.1269,184.5,MORTGAGE,96000,Not Verified,debt_consolidation,3.04,0,0,7792,0.123,Paid
0.0751,45.12,RENT,24000,Source Verified,debt_consolidation,10.9,0,0,1244,0.178,Paid
0.1171,662.95,RENT,150000,Verified,debt_consolidation,3.02,0,0,24574,0.302,Paid
0.079,250.33,RENT,50000,Source Verified,small_business,5.47,0,0,6572,0.788,Paid
0.079,219.04,OWN,27600,Not Verified,medical,20.96,0,0,0,0,Notpaid
0.1427,343.09,RENT,60000,Verified,wedding,22.28,0,0,6261,0.489,Paid
0.1269,451.9,OWN,102000,Verified,debt_consolidation,23.87,0,0,24796,0.312,Paid
0.079,206.52,MORTGAGE,47000,Not Verified,home_improvement,26.89,0,0,7362,0.876,Paid
0.1171,198.46,RENT,30000,Source Verified,debt_consolidation,17.36,0,0,6064,0.578,Paid
0.1677,248.77,MORTGAGE,120000,Verified,wedding,16.94,0,0,106307,0.986,Paid
0.1242,133.67,RENT,23400,Not Verified,debt_consolidation,14.26,0,0,3845,0.961,Paid
0.1427,289.1,RENT,59000,Not Verified,medical,22.72,0,0,8493,0.418,Notpaid
0.1171,330.76,RENT,52000,Source Verified,debt_consolidation,5.85,3,0,7072,0.488,Paid
0.1677,426.47,MORTGAGE,60000,Verified,debt_consolidation,0.52,0,0,12045,0.0046,Paid
0.2313,520.08,MORTGAGE,75000,Verified,house,7.86,1,0,5143,0.429,Notpaid
0.1758,603.98,MORTGAGE,80000,Verified,debt_consolidation,13.92,0,0,341,0.074,Paid
0.079,312.91,MORTGAGE,54000,Not Verified,house,19.07,0,0,13093,0.477,Paid
0.0991,424.06,RENT,36000,Source Verified,debt_consolidation,23.27,0,0,8575,0.215,Paid
0.1629,529.51,RENT,52800,Source Verified,other,18.7,1,0,17914,0.68,Paid
0.1427,123.52,RENT,26400,Source Verified,other,12.59,0,0,1990,0.995,Paid
0.1065,368.9,MORTGAGE,25920,Not Verified,house,18.89,0,0,18905,0.42,Paid
0.1349,105.19,RENT,65000,Source Verified,moving,3.42,1,0,4332,0.413,Paid
0.079,625.81,MORTGAGE,150000,Source Verified,credit_card,4.09,0,0,14342,0.205,Paid
0.0603,438.28,MORTGAGE,75000,Verified,major_purchase,27.02,0,0,2617,0.242,Paid
0.1349,198.5,MORTGAGE,31200,Verified,debt_consolidation,24.19,0,0,9712,0.809,Paid
0.0662,153.52,MORTGAGE,124800,Not Verified,car,11.24,0,0,1598,0.16,Paid
0.0662,92.12,MORTGAGE,45000,Not Verified,home_improvement,23.25,0,0,6710,0.167,Paid
0.1171,773.44,MORTGAGE,88000,Verified,small_business,6.56,0,0,574,0.014,Notpaid
0.1171,396.92,RENT,77000,Not Verified,debt_consolidation,11.6,0,0,8377,0.634,Paid
0.1596,728.91,RENT,55000,Verified,debt_consolidation,15.4,0,0,2134,0.156,Paid
0.1269,670.9,OWN,50000,Verified,credit_card,13.63,0,0,18367,0.661,Paid
0.079,219.04,RENT,43200,Not Verified,vacation,3.15,0,0,2769,0.12,Notpaid
0.0662,245.63,RENT,39000,Not Verified,debt_consolidation,5.91,0,0,6231,0.189,Paid
0.089,254.03,MORTGAGE,28776,Not Verified,home_improvement,9.47,1,0,3270,0.166,Paid
0.0991,161.13,MORTGAGE,83000,Not Verified,car,18.65,0,0,40483,0.867,Paid
0.1349,593.79,RENT,85000,Source Verified,debt_consolidation,8.19,0,1,23104,0.558,Paid
0.079,281.62,RENT,58800,Source Verified,debt_consolidation,18.3,0,0,10222,0.496,Paid
0.1349,203.59,MORTGAGE,79416,Not Verified,debt_consolidation,6.24,0,0,649,0.021,Paid
0.1758,287.54,MORTGAGE,48661.8,Source Verified,other,4.81,0,0,6034,0.928,Paid
0.1269,241.53,RENT,30000,Source Verified,debt_consolidation,19.52,0,1,12963,0.686,Notpaid
0.1629,264.76,RENT,120000,Not Verified,wedding,13.33,0,0,13842,0.865,Paid
0.1065,81.44,RENT,24000,Not Verified,small_business,20.6,0,0,2234,0.196,Paid
0.1269,201.27,RENT,40000,Source Verified,debt_consolidation,11.58,0,0,7316,0.724,Paid
0.0662,405.29,RENT,60000,Verified,wedding,12.75,0,0,1531,0.071,Paid
0.1065,362.35,RENT,52000,Source Verified,major_purchase,3.25,0,0,971,0.038,Paid
0.079,234.68,RENT,50000,Source Verified,small_business,0.86,0,0,0,0,Notpaid
0.089,190.52,RENT,41000,Source Verified,credit_card,14.53,0,0,2983,0.466,Paid
0.1171,396.67,OWN,35880,Verified,debt_consolidation,5.45,0,0,10376,0.162,Paid
0.1727,238.11,RENT,50000,Source Verified,debt_consolidation,7.03,0,1,6797,0.338,Paid
0.079,375.49,MORTGAGE,65000,Source Verified,debt_consolidation,11.69,0,0,16947,0.635,Paid
0.1171,165.38,MORTGAGE,70116,Verified,other,17.75,0,0,2791,0.734,Paid
0.0991,451.15,OWN,74700,Source Verified,small_business,4.72,0,0,8425,0.144,Paid
0.1596,456.79,MORTGAGE,76800,Source Verified,medical,21.34,0,0,52166,0.97,Paid
0.1427,702.26,RENT,57048,Verified,debt_consolidation,14.49,0,0,28285,0.492,Paid
0.0662,276.34,RENT,34320,Not Verified,major_purchase,25.91,0,0,13646,0.221,Notpaid
0.0662,307.04,RENT,55000,Not Verified,other,11.65,1,0,4272,0.117,Notpaid
0.0603,182.62,MORTGAGE,54000,Not Verified,car,24.07,0,0,9142,0.283,Paid
0.089,310.65,MORTGAGE,96000,Source Verified,debt_consolidation,15.45,0,0,7,0.001,Paid
0.0662,275.57,MORTGAGE,32500,Verified,debt_consolidation,29.61,0,0,10834,0.669,Paid
0.079,250.33,RENT,40000,Source Verified,credit_card,12.66,0,0,6609,0.441,Notpaid
0.0662,367.68,RENT,50000,Source Verified,debt_consolidation,14.55,0,0,11387,0.409,Paid
0.1677,519.32,MORTGAGE,110256,Verified,debt_consolidation,20.17,0,0,103774,0.643,Paid
0.089,349.29,MORTGAGE,144000,Verified,debt_consolidation,13.76,0,0,34625,0.7,Paid
0.089,476.3,MORTGAGE,200000,Verified,major_purchase,8.6,0,0,21645,0.324,Paid
0.1171,264.61,RENT,50000,Not Verified,other,15.84,3,0,624,0.78,Notpaid
0.1349,380.03,RENT,68000,Source Verified,wedding,15.42,1,0,7119,0.593,Paid
0.1269,107.35,RENT,22000,Not Verified,debt_consolidation,12.62,0,0,2932,0.386,Paid
0.1242,280.69,RENT,50400,Not Verified,debt_consolidation,1.69,0,0,558,0.072,Paid
0.1991,89.09,MORTGAGE,150000,Source Verified,home_improvement,14.35,0,0,39864,0.523,Notpaid
0.1629,247.11,MORTGAGE,62000,Source Verified,home_improvement,12.22,0,1,5823,0.719,Paid
0.1596,210.83,RENT,98000,Not Verified,debt_consolidation,16.7,0,0,16547,0.636,Paid
0.1349,220.85,RENT,68000,Verified,other,8.33,0,0,15726,0.283,Notpaid
0.1242,434.4,MORTGAGE,90000,Verified,debt_consolidation,13.34,0,0,7272,0.194,Paid
0.1065,111.08,OWN,50400,Not Verified,car,15.74,0,0,15902,0.546,Paid
0.1349,508.96,MORTGAGE,120000,Source Verified,debt_consolidation,0.66,0,0,73,0.008,Paid
0.0751,233.34,OWN,90000,Not Verified,credit_card,13.37,0,0,9193,0.339,Paid
0.1349,364.63,MORTGAGE,38397,Verified,medical,11.44,1,0,7143,0.401,Notpaid
0.079,187.75,RENT,27040,Verified,wedding,14.56,0,0,2510,0.492,Paid
0.079,312.91,OWN,35000,Not Verified,debt_consolidation,23.11,0,0,8045,0.447,Paid
0.2089,404.88,RENT,92000,Verified,debt_consolidation,22.34,0,0,14895,0.903,Notpaid
0.1677,53.31,RENT,60000,Source Verified,other,12.98,0,0,6423,0.945,Paid
0.2206,553.07,MORTGAGE,79864,Verified,debt_consolidation,11.14,0,1,5010,0.911,Notpaid
0.1171,464.07,MORTGAGE,65000,Verified,debt_consolidation,18.33,0,0,37313,0.563,Paid
0.1171,396.92,OWN,40008,Not Verified,debt_consolidation,16.37,0,0,14728,0.604,Paid
0.1427,702.26,MORTGAGE,93000,Verified,debt_consolidation,18.65,0,0,43209,0.413,Paid
0.1629,423.61,MORTGAGE,62208,Source Verified,debt_consolidation,19.1,4,0,6640,0.91,Paid
0.0603,152.18,OWN,60000,Not Verified,debt_consolidation,16.76,0,0,3520,0.265,Paid
0.1065,977.2,RENT,97000,Verified,house,22.74,0,0,15196,0.211,Notpaid
0.1427,385.98,RENT,40000,Not Verified,debt_consolidation,19.92,0,0,19226,0.665,Paid
0.079,375.49,MORTGAGE,60000,Source Verified,other,2.8,0,0,7657,0.589,Paid
0.1269,261.65,RENT,45000,Source Verified,debt_consolidation,9.39,0,0,2338,0.668,Paid
0.1242,673.72,RENT,81996,Verified,debt_consolidation,18.56,0,0,4575,0.204,Paid
0.089,539.81,MORTGAGE,60000,Verified,credit_card,19.66,0,0,2758,0.176,Paid
0.0603,426.1,MORTGAGE,94800,Verified,credit_card,22.91,0,0,27143,0.183,Paid
0.089,79.39,RENT,35000,Source Verified,debt_consolidation,11.01,0,0,2435,0.256,Paid
0.1727,374.97,RENT,50000,Not Verified,debt_consolidation,15.84,0,0,12449,0.596,Paid
0.1171,530.36,RENT,95000,Verified,debt_consolidation,9.06,0,0,927,0.206,Paid
0.0751,280,MORTGAGE,55000,Source Verified,debt_consolidation,16.14,0,0,12753,0.273,Paid
0.1065,367.74,RENT,30660,Verified,debt_consolidation,25.44,0,0,15748,0.599,Notpaid
0.0603,58.59,OWN,30000,Not Verified,debt_consolidation,13.32,0,0,11954,0.255,Paid
0.1991,925.54,MORTGAGE,135000,Verified,debt_consolidation,20.21,0,0,56470,0.731,Paid
0.079,31.3,RENT,40000,Not Verified,other,17.01,0,0,5824,0.315,Paid
0.1349,496.91,MORTGAGE,60000,Verified,debt_consolidation,5.38,0,0,5434,0.279,Paid
0.1171,138.92,MORTGAGE,107004,Not Verified,other,10.03,1,0,15720,0.918,Paid
0.2274,360.34,RENT,60000,Source Verified,other,1.36,0,0,686,0.152,Notpaid
0.0751,149.34,MORTGAGE,36000,Not Verified,credit_card,28.87,0,0,10913,0.631,Paid
0.0991,135.35,RENT,30000,Source Verified,car,9.86,1,0,279,0.018,Paid
0.0603,152.18,MORTGAGE,148350,Verified,medical,20.43,0,0,116794,0.475,Paid
0.1465,551.91,MORTGAGE,56033,Verified,credit_card,22.57,0,0,32078,0.493,Paid
0.0991,639.67,RENT,53313,Verified,debt_consolidation,9.66,0,0,17856,0.567,Paid
0.1527,478.64,MORTGAGE,90000,Verified,credit_card,20.03,0,0,22329,0.767,Paid
0.1171,331.48,MORTGAGE,45000,Verified,major_purchase,20.8,0,0,22486,0.896,Paid
0.1269,268.36,RENT,160000,Source Verified,other,10.03,0,0,7841,0.862,Paid
0.079,469.36,MORTGAGE,60000,Verified,debt_consolidation,7.68,0,0,14322,0.628,Paid
0.1349,101.8,RENT,30000,Verified,credit_card,14.73,0,0,10755,0.685,Paid
0.1727,546.21,MORTGAGE,50000,Verified,debt_consolidation,24.39,0,0,44922,0.867,Notpaid
0.1269,134.18,RENT,115000,Verified,major_purchase,1.34,0,0,5304,0.257,Paid
0.1242,763.55,OWN,85800,Verified,debt_consolidation,11.54,0,0,35343,0.449,Notpaid
