Rt,Inst,home,an_inc,ver,pur,dti,del,pb_rc,rev_bal,rev_util,class
0.1099,98.21,MORTGAGE,99000,Source Verified,home_improvement,8.95,0,0,21033,0.956,Paid
0.0999,451.68,MORTGAGE,70032,Source Verified,debt_consolidation,17.96,0,0,42050,0.766,Paid
0.0749,1088.56,MORTGAGE,94400,Verified,debt_consolidation,12.15,0,0,4899,0.11,Paid
0.1749,244.11,OWN,60000,Source Verified,home_improvement,2.2,0,0,2204,0.234,Paid
0.1599,155.61,RENT,42000,Not Verified,debt_consolidation,24.43,0,0,973,0.245,Paid
0.1929,313.21,RENT,60000,Not Verified,credit_card,8.42,0,1,11921,0.961,Paid
0.1562,104.91,MORTGAGE,61000,Source Verified,debt_consolidation,22.78,0,1,14154,0.95,Paid
0.0849,246.15,MORTGAGE,40000,Not Verified,debt_consolidation,10.14,0,0,11843,0.292,Paid
0.1099,196.41,MORTGAGE,49992,Source Verified,debt_consolidation,5.54,1,0,3303,0.162,Paid
0.0849,309.32,MORTGAGE,130000,Verified,car,15.99,0,0,97419,0.73,Paid
0.2136,289.6,RENT,32400,Verified,credit_card,20.04,0,1,7571,0.971,Paid
0.1749,138.15,RENT,39996,Not Verified,debt_consolidation,6.99,0,0,5412,0.773,Paid
0.1299,404.27,RENT,86004,Source Verified,debt_consolidation,7.76,0,0,3534,0.552,Paid
0.2248,836.78,MORTGAGE,64000,Verified,debt_consolidation,17.36,0,0,26469,0.999,Paid
0.1099,327.34,MORTGAGE,41000,Not Verified,home_improvement,13.49,0,0,17933,0.526,Paid
0.1059,96.93,MORTGAGE,45000,Not Verified,debt_consolidation,6.93,0,0,7802,0.215,Paid
0.1649,265.5,RENT,44604,Not Verified,debt_consolidation,19.75,0,0,5324,0.761,Paid
0.0599,304.18,MORTGAGE,40000,Not Verified,home_improvement,3.06,0,0,3400,0.17,Paid
0.1059,488.18,MORTGAGE,72000,Not Verified,credit_card,19.52,0,0,3657,0.306,Paid
0.1099,274.97,MORTGAGE,28000,Not Verified,credit_card,20.8,0,0,11599,0.634,Notpaid
0.1059,162.73,RENT,24000,Source Verified,medical,2,0,0,284,0.218,Paid
0.0699,308.73,MORTGAGE,61000,Verified,other,4.13,0,0,0,0,Paid
0.0849,883.77,MORTGAGE,132652.8,Verified,home_improvement,0.54,0,0,2858,0.07,Paid
0.1749,226.06,MORTGAGE,35000,Verified,debt_consolidation,14.74,1,1,5205,0.591,Paid
0.1879,302.8,RENT,130000,Verified,house,4.1,1,0,4709,0.231,Paid
0.1929,355.62,RENT,58000,Verified,debt_consolidation,15.64,1,1,14274,0.639,Paid
0.0699,432.22,RENT,61000,Not Verified,debt_consolidation,5.29,0,0,3755,0.044,Paid
0.0599,304.18,MORTGAGE,45336,Not Verified,debt_consolidation,5.24,0,0,9842,0.123,Paid
0.0749,223.94,RENT,26400,Not Verified,debt_consolidation,9.14,0,0,7414,0.203,Paid
0.0749,343.68,MORTGAGE,32000,Verified,debt_consolidation,15.23,0,0,14551,0.654,Paid
0.0749,311.02,RENT,130000,Not Verified,debt_consolidation,4.36,0,0,8517,0.331,Paid
0.1689,89.26,RENT,40000,Source Verified,major_purchase,8.07,0,0,1482,0.401,Notpaid
0.1599,151.96,MORTGAGE,60000,Verified,car,19.22,0,0,9170,0.509,Paid
0.0699,463.09,RENT,48000,Not Verified,debt_consolidation,3.02,0,0,11079,0.132,Paid
0.0749,155.51,MORTGAGE,44000,Not Verified,other,21.74,0,0,12075,0.356,Paid
0.1059,81.37,RENT,42000,Not Verified,debt_consolidation,22.17,0,0,4776,0.645,Paid
0.1599,175.77,RENT,45360,Not Verified,debt_consolidation,16.75,1,0,4722,0.268,Paid
0.1479,207.38,RENT,60000,Source Verified,other,7.68,0,0,1698,0.239,Paid
0.1749,376.76,MORTGAGE,64704,Not Verified,debt_consolidation,8.94,0,0,18208,0.461,Paid
0.0749,298.58,RENT,30000,Not Verified,debt_consolidation,17.88,0,0,7222,0.657,Paid
0.0542,150.8,MORTGAGE,50000,Not Verified,home_improvement,10.3,0,0,601,0.601,Notpaid
0.0599,146.01,MORTGAGE,46576,Not Verified,debt_consolidation,4.61,0,0,1204,0.029,Paid
0.1523,231.94,MORTGAGE,113000,Verified,home_improvement,15.05,0,0,2383,0.277,Paid
0.1689,285.13,MORTGAGE,73500,Not Verified,debt_consolidation,24.75,1,0,13736,0.738,Paid
0.0849,284.07,RENT,42000,Not Verified,debt_consolidation,23.57,0,0,8026,0.608,Paid
0.1349,220.85,MORTGAGE,100000,Not Verified,home_improvement,10.97,0,0,12901,0.701,Paid
0.1149,197.83,RENT,24000,Not Verified,car,1.9,0,0,3869,0.303,Paid
0.0749,459.53,RENT,67000,Source Verified,debt_consolidation,14.69,0,0,31582,0.387,Paid
0.2099,270.48,RENT,100000,Verified,debt_consolidation,18.89,0,0,8636,0.422,Paid
0.1349,92.02,RENT,39000,Not Verified,vacation,22.49,0,0,6090,0.547,Paid
0.0999,233.67,MORTGAGE,43000,Verified,home_improvement,26.71,0,0,0,0,Paid
0.1199,266.88,RENT,35000,Source Verified,debt_consolidation,14.4,0,0,6682,0.318,Paid
0.1099,180.04,MORTGAGE,44000,Not Verified,major_purchase,24.41,1,0,39521,0.691,Paid
0.1649,221.22,RENT,27000,Not Verified,debt_consolidation,17.38,0,0,1384,0.338,Paid
0.1689,495.87,OWN,48000,Verified,debt_consolidation,6.83,0,0,5845,0.34,Notpaid
0.1929,461.98,MORTGAGE,56400,Verified,house,0.77,0,0,1258,0.066,Paid
0.1599,121.57,RENT,40000,Not Verified,credit_card,9.42,0,0,4087,0.834,Paid
0.2099,324.58,MORTGAGE,100000,Verified,debt_consolidation,12.76,0,0,3160,0.208,Paid
0.1099,65.47,OWN,43200,Not Verified,car,9.36,0,0,10506,0.696,Paid
0.0699,219.2,RENT,95000,Verified,car,3.49,0,0,768,0.032,Paid
0.0542,313.67,RENT,65000,Not Verified,debt_consolidation,16.8,0,0,18550,0.464,Paid
0.1599,379.65,RENT,54000,Not Verified,debt_consolidation,17.42,0,1,8593,0.966,Notpaid
0.1879,552.02,MORTGAGE,92160,Verified,debt_consolidation,20.65,0,0,89468,0.769,Paid
0.1562,1223.95,RENT,80000,Verified,debt_consolidation,15,0,0,24358,0.628,Paid
0.0542,347.6,MORTGAGE,106800,Verified,home_improvement,8.08,0,0,8289,0.206,Paid
0.1649,368.69,OWN,88000,Verified,debt_consolidation,10,0,1,10841,0.599,Paid
0.1099,434.75,MORTGAGE,76445,Verified,debt_consolidation,12.46,0,0,17265,0.293,Paid
0.1299,276.96,RENT,39672,Verified,debt_consolidation,23.47,0,0,15660,0.817,Paid
0.0749,317.24,MORTGAGE,125000,Not Verified,credit_card,13.8,0,0,15461,0.495,Paid
0.1199,398.52,RENT,52000,Not Verified,debt_consolidation,21.58,1,0,13131,0.581,Paid
0.1299,50.62,RENT,25000,Not Verified,car,19.15,0,0,2385,0.306,Paid
0.1523,1217.24,MORTGAGE,300000,Not Verified,debt_consolidation,13.36,0,0,62060,0.689,Paid
0.1599,232.19,MORTGAGE,50000,Not Verified,credit_card,18.12,0,0,12252,0.875,Paid
0.1199,116.24,MORTGAGE,68000,Source Verified,other,13.61,0,0,39463,0.926,Paid
0.1523,166.94,RENT,29004,Not Verified,other,11.96,0,0,2146,0.536,Paid
0.1299,168.45,MORTGAGE,80000,Not Verified,major_purchase,9.79,0,0,3688,0.397,Paid
0.1059,81.37,OWN,24000,Not Verified,other,17.65,0,0,1050,0.148,Paid
0.1479,224.96,RENT,36000,Not Verified,debt_consolidation,12.13,0,0,14227,0.45,Paid
0.0542,108.58,MORTGAGE,60000,Not Verified,car,15,0,0,822,0.027,Paid
0.1749,376.76,MORTGAGE,52000,Verified,vacation,19.55,0,1,5106,0.63,Paid
0.1749,100.47,MORTGAGE,60000,Not Verified,major_purchase,14.46,0,0,16662,0.559,Paid
0.1349,414.09,RENT,69000,Not Verified,debt_consolidation,15.79,0,0,19996,0.585,Paid
0.0749,74.65,RENT,60000,Not Verified,major_purchase,7,0,0,336,0.112,Paid
0.1149,197.83,MORTGAGE,48000,Not Verified,car,23.57,0,0,21198,0.647,Notpaid
0.0599,304.18,RENT,39204,Not Verified,debt_consolidation,5.82,0,0,4936,0.125,Paid
0.1099,139.12,RENT,27500,Not Verified,credit_card,8.07,0,0,3299,0.314,Paid
0.1099,327.34,RENT,42000,Not Verified,debt_consolidation,11.09,0,0,6486,0.536,Paid
0.1299,113.74,RENT,12000,Source Verified,medical,3.2,0,1,482,0.096,Paid
0.0749,186.61,MORTGAGE,30720,Source Verified,debt_consolidation,18.79,0,0,1381,0.182,Paid
0.0699,216.11,MORTGAGE,73440,Not Verified,car,5.59,1,0,812,0.232,Paid
0.1199,185.98,RENT,52884,Not Verified,wedding,15.18,0,0,7974,0.936,Paid
0.0749,407.44,RENT,71040,Not Verified,car,2.75,0,0,10085,0.171,Paid
0.1399,410.08,MORTGAGE,60000,Verified,debt_consolidation,23.46,0,0,21618,0.94,Paid
0.1299,197.93,RENT,49680,Not Verified,credit_card,19.37,0,1,7429,0.675,Paid
0.0849,71.02,RENT,18000,Source Verified,debt_consolidation,6.27,0,0,2527,0.281,Paid
0.1969,432.34,MORTGAGE,53000,Verified,debt_consolidation,19.38,0,0,12201,0.237,Paid
0.1417,513.85,MORTGAGE,108000,Verified,debt_consolidation,19.47,0,0,41531,0.782,Paid
0.2025,106.54,MORTGAGE,65000,Source Verified,debt_consolidation,18.09,1,0,10541,0.538,Paid
0.1199,177.92,MORTGAGE,58000,Not Verified,credit_card,21.23,0,0,7971,0.45,Notpaid
0.0749,228.6,RENT,44995,Source Verified,credit_card,19.82,0,0,9882,0.711,Paid
0.1399,119.61,RENT,110000,Source Verified,moving,15.5,0,0,3668,0.895,Paid
0.1349,602.27,RENT,48000,Source Verified,credit_card,13.63,1,0,14294,0.79,Paid
0.1479,456.23,MORTGAGE,90888,Not Verified,debt_consolidation,18.8,0,0,9047,0.73,Paid
0.1199,355.84,MORTGAGE,32000,Verified,debt_consolidation,13.88,0,0,16716,0.214,Paid
0.164,83.41,OWN,14400,Source Verified,debt_consolidation,5.17,0,0,2155,0.582,Paid
0.2359,456.49,OWN,35088,Source Verified,major_purchase,18.33,0,0,3900,0.975,Paid
0.1825,204.24,RENT,45600,Source Verified,debt_consolidation,20.37,0,0,7011,0.911,Notpaid
0.1749,753.51,OWN,170004,Verified,other,7.95,0,0,24120,0.699,Paid
0.1199,830.24,MORTGAGE,100000,Verified,debt_consolidation,12.41,0,0,23173,0.834,Paid
0.1749,150.71,RENT,30000,Source Verified,wedding,19.36,0,0,2233,0.797,Paid
0.1523,208.67,OWN,55000,Source Verified,credit_card,19.57,1,0,8077,0.272,Paid
0.1099,287.48,MORTGAGE,70000,Verified,debt_consolidation,18.6,0,0,9163,0.255,Paid
0.0699,185.24,RENT,78000,Not Verified,medical,10.37,0,0,1473,0.037,Paid
0.1059,325.45,MORTGAGE,56820,Verified,debt_consolidation,13.9,0,1,734,0.489,Notpaid
0.0749,93.31,RENT,47000,Source Verified,debt_consolidation,13.43,0,0,12471,0.203,Paid
0.0849,157.82,RENT,24996,Source Verified,debt_consolidation,3.79,0,0,4801,0.565,Notpaid
0.0749,186.61,RENT,35000,Not Verified,debt_consolidation,13.13,0,0,5864,0.477,Paid
0.1839,532.61,RENT,62208,Source Verified,debt_consolidation,15.16,0,0,27000,0.804,Notpaid
0.0749,311.02,RENT,30000,Verified,debt_consolidation,19.36,0,0,1307,0.214,Paid
0.1565,562.29,MORTGAGE,56000,Source Verified,small_business,12.62,0,0,2355,0.123,Paid
0.1523,104.34,RENT,45314,Source Verified,car,22.3,0,0,12914,0.442,Notpaid
0.0749,248.82,MORTGAGE,55000,Source Verified,debt_consolidation,18.92,0,0,7501,0.475,Paid
0.1649,368.69,RENT,135000,Verified,medical,9.78,0,0,20522,0.811,Notpaid
0.0599,349.81,MORTGAGE,53913,Verified,debt_consolidation,8.19,0,0,18688,0.12,Paid
0.1799,289.18,RENT,30000,Source Verified,wedding,7.28,0,0,8886,0.759,Paid
0.1149,164.86,MORTGAGE,40000,Not Verified,car,14.1,1,1,8297,0.509,Paid
0.0699,185.24,MORTGAGE,36000,Source Verified,wedding,15.37,0,0,3330,0.25,Paid
0.1099,391.28,MORTGAGE,101400,Not Verified,debt_consolidation,14.76,0,0,17972,0.279,Paid
0.1523,267.8,RENT,63000,Source Verified,debt_consolidation,21.79,0,0,18297,0.863,Paid
0.1099,234.77,MORTGAGE,36000,Source Verified,home_improvement,3.37,0,0,951,0.064,Paid
0.1562,209.82,RENT,35004,Verified,other,4.73,0,0,4305,0.395,Paid
0.2062,469.71,RENT,62880,Source Verified,debt_consolidation,8.91,0,0,16151,0.997,Paid
0.0542,60.32,MORTGAGE,65000,Not Verified,home_improvement,29.04,0,0,8337,0.488,Paid
0.1749,430.77,MORTGAGE,60000,Verified,small_business,6.76,0,0,11402,0.864,Notpaid
0.0749,497.63,RENT,44000,Verified,debt_consolidation,14.24,0,0,22545,0.549,Paid
0.1799,132.02,RENT,54144,Source Verified,other,10.84,0,0,1497,0.294,Paid
0.1149,395.66,RENT,75000,Source Verified,debt_consolidation,6.22,1,0,3026,0.096,Notpaid
0.1689,247.94,MORTGAGE,65000,Source Verified,debt_consolidation,10.84,0,0,7459,0.731,Paid
0.2062,608.6,MORTGAGE,140000,Verified,small_business,6.55,0,0,8817,0.954,Paid
0.1149,115.4,RENT,31500,Source Verified,debt_consolidation,16.57,0,0,3428,0.979,Paid
0.1969,78.97,RENT,360000,Verified,moving,12.48,0,0,24981,0.368,Paid
0.2062,483.13,MORTGAGE,110000,Source Verified,debt_consolidation,10.24,1,0,14351,0.908,Paid
0.1349,632.06,RENT,85000,Verified,debt_consolidation,5.32,0,0,57387,0.31,Paid
0.0699,185.24,RENT,80000,Not Verified,debt_consolidation,13.77,0,0,10884,0.166,Paid
0.0999,286.77,MORTGAGE,60000,Verified,car,9.24,0,0,8741,0.11,Paid
0.1689,86.78,RENT,14000,Source Verified,car,3,1,0,483,0.302,Paid
0.1199,226.29,MORTGAGE,53004,Verified,debt_consolidation,28.91,0,0,31056,0.473,Paid
0.1599,527.29,OWN,74000,Source Verified,debt_consolidation,7.7,0,0,11880,0.471,Notpaid
0.2211,577.16,RENT,98000,Source Verified,home_improvement,14.63,3,0,7171,0.624,Paid
0.0542,120.64,RENT,27600,Verified,credit_card,14.26,0,0,1823,0.212,Paid
0.0749,450.98,MORTGAGE,120000,Verified,debt_consolidation,11.71,0,0,73098,0.623,Paid
0.1099,654.68,MORTGAGE,82000,Verified,debt_consolidation,13.43,0,0,75542,0.62,Paid
0.1349,230.05,MORTGAGE,34800,Source Verified,credit_card,20.52,0,0,11708,0.887,Paid
0.0542,90.48,MORTGAGE,75000,Source Verified,home_improvement,10.45,0,0,3044,0.106,Paid
0.1349,378.43,RENT,70446.2,Source Verified,debt_consolidation,15.67,0,0,17606,0.502,Paid
0.2136,302.55,OWN,50000,Verified,small_business,19.7,0,0,5526,0.969,Notpaid
0.0749,311.02,MORTGAGE,59000,Source Verified,credit_card,10.64,0,0,11490,0.407,Paid
0.1149,445.12,RENT,201000,Source Verified,debt_consolidation,8.01,0,0,38179,0.892,Paid
0.1969,276.38,RENT,160000,Verified,debt_consolidation,10.96,0,0,9764,0.887,Paid
0.0849,197.27,MORTGAGE,24000,Source Verified,credit_card,25.8,0,0,12542,0.836,Paid
0.1199,398.52,MORTGAGE,37596,Not Verified,debt_consolidation,22.98,0,0,10450,0.909,Paid
0.1099,261.88,RENT,27996,Source Verified,other,19.89,0,0,848,0.212,Paid
0.1599,292.37,MORTGAGE,94000,Source Verified,debt_consolidation,14.12,0,0,7855,0.77,Paid
0.1839,143.4,RENT,67200,Source Verified,small_business,13.54,7,1,820,0.075,Notpaid
0.1199,398.52,RENT,26000,Verified,debt_consolidation,5.68,0,1,6048,0.304,Paid
0.1599,42.19,OWN,25200,Not Verified,home_improvement,19.48,0,0,7939,0.728,Notpaid
0.1299,229.09,RENT,39270,Not Verified,debt_consolidation,21.42,0,0,4163,0.867,Paid
0.1199,282.45,RENT,65000,Not Verified,debt_consolidation,14.82,0,0,39437,0.772,Paid
0.1799,213.26,MORTGAGE,35000,Not Verified,other,22.25,0,0,12076,0.616,Paid
0.1879,457.76,MORTGAGE,63052,Verified,small_business,20.06,1,0,5912,0.188,Paid
0.1562,171.36,MORTGAGE,65000,Not Verified,debt_consolidation,16.45,1,0,5074,0.558,Notpaid
0.1199,378.07,MORTGAGE,58000,Verified,credit_card,23.92,0,0,49550,0.799,Notpaid
0.0749,298.58,RENT,21600,Not Verified,moving,17.78,0,0,3396,0.121,Paid
0.1879,619.81,MORTGAGE,93000,Verified,credit_card,20.13,0,0,32839,0.576,Notpaid
0.2099,243.43,MORTGAGE,21000,Not Verified,debt_consolidation,10.57,0,0,6981,0.481,Paid
0.1299,113.74,RENT,43200,Not Verified,other,19,0,0,784,0.138,Paid
0.1099,163.67,RENT,60000,Not Verified,vacation,18.82,0,0,4317,0.427,Paid
0.1099,422.25,MORTGAGE,249996,Source Verified,debt_consolidation,1.34,0,0,1592,0.177,Paid
0.1839,368.73,MORTGAGE,82296,Source Verified,other,18.84,0,0,4461,0.519,Paid
0.1479,66.31,RENT,20496,Not Verified,other,7.26,0,0,5476,0.412,Notpaid
0.1479,142.08,RENT,40000,Source Verified,small_business,16.2,1,0,3852,0.688,Notpaid
0.1929,261.01,RENT,91745,Not Verified,major_purchase,18.6,1,0,9632,0.295,Paid
0.1199,172.36,MORTGAGE,60000,Verified,debt_consolidation,29.78,0,0,20114,0.396,Paid
0.0599,257.03,RENT,30000,Not Verified,debt_consolidation,23.2,0,0,9004,0.282,Paid
0.1149,211.09,MORTGAGE,75000,Source Verified,debt_consolidation,22.16,0,0,490,0.045,Paid
0.1839,466.04,MORTGAGE,55200,Verified,debt_consolidation,23.3,0,0,12516,0.375,Notpaid
0.0999,371.02,MORTGAGE,108000,Verified,vacation,8.98,0,0,1684,0.072,Paid
0.1749,345.36,MORTGAGE,70800,Source Verified,home_improvement,13.34,0,0,16281,0.764,Paid
0.0699,580.41,RENT,55000,Verified,moving,21.67,0,0,11627,0.218,Paid
0.1099,353.53,MORTGAGE,50000,Not Verified,debt_consolidation,10.27,0,0,14542,0.523,Paid
0.0542,135.72,MORTGAGE,25200,Not Verified,debt_consolidation,4.86,0,0,4346,0.174,Paid
0.0599,328.51,MORTGAGE,63000,Source Verified,debt_consolidation,10.72,0,0,8049,0.272,Paid
0.1399,186.11,MORTGAGE,66000,Not Verified,major_purchase,22.95,0,0,22420,0.776,Notpaid
0.1059,104.15,MORTGAGE,160000,Not Verified,home_improvement,4.67,0,0,16856,0.175,Paid
0.0699,108.06,MORTGAGE,27600,Not Verified,credit_card,5.74,0,1,749,0.05,Paid
0.0749,622.04,MORTGAGE,99996,Verified,debt_consolidation,14.6,0,0,19229,0.253,Paid
0.1299,159.24,RENT,36000,Source Verified,car,10.03,0,0,9303,0.596,Paid
0.0749,139.96,MORTGAGE,50004,Verified,major_purchase,4.01,0,0,7556,0.148,Paid
0.0699,216.11,OWN,30156,Not Verified,wedding,7.4,0,0,7850,0.347,Notpaid
0.0599,273.76,MORTGAGE,140000,Verified,home_improvement,11.99,0,0,7901,0.083,Paid
0.1649,531,MORTGAGE,52360,Verified,small_business,0,0,0,0,0,Paid
0.1349,254.48,OWN,26886.48,Not Verified,debt_consolidation,19.01,0,1,3627,0.907,Paid
0.1099,556.48,RENT,78000,Source Verified,credit_card,9.72,0,0,9171,0.261,Paid
0.0849,315.63,MORTGAGE,45912,Source Verified,credit_card,8.73,0,0,10917,0.682,Notpaid
0.0849,205.16,RENT,21600,Source Verified,debt_consolidation,16.72,0,0,1194,0.181,Paid
0.1099,294.61,OWN,178000,Verified,debt_consolidation,8.84,0,0,29896,0.55,Paid
0.1059,260.36,MORTGAGE,48000,Source Verified,major_purchase,3.83,0,0,0,0,Paid
0.0599,486.68,MORTGAGE,40000,Not Verified,debt_consolidation,20.67,0,0,20285,0.207,Paid
0.0699,32.42,RENT,6000,Source Verified,credit_card,9.4,0,0,3243,0.171,Paid
0.1349,190.02,RENT,40000,Source Verified,house,1.5,0,0,1445,0.082,Paid
0.0599,182.51,MORTGAGE,72000,Verified,home_improvement,9.73,0,0,20146,0.009,Paid
0.1749,617.25,RENT,84500,Source Verified,debt_consolidation,10.44,0,1,12053,0.437,Notpaid
0.2025,506.04,OWN,30720,Not Verified,other,9.92,0,0,0,0,Paid
0.0699,98.8,MORTGAGE,51996,Not Verified,major_purchase,9.81,0,0,42,0.006,Paid
0.1749,527.46,MORTGAGE,100000,Verified,credit_card,16.4,2,0,14331,0.562,Paid
0.1349,339.31,MORTGAGE,39216,Not Verified,debt_consolidation,9.94,0,0,4196,0.471,Paid
0.1149,105.55,MORTGAGE,65000,Not Verified,home_improvement,20.18,0,0,15707,0.737,Notpaid
0.0599,304.18,MORTGAGE,180000,Source Verified,credit_card,1.53,0,0,11200,0.111,Paid
0.1199,332.1,MORTGAGE,192000,Verified,major_purchase,0.39,0,0,1802,0.334,Paid
0.1839,256.07,RENT,72000,Verified,debt_consolidation,1.98,0,0,3229,0.609,Paid
0.1399,418.74,MORTGAGE,50000,Verified,debt_consolidation,4.54,2,0,3492,0.105,Paid
0.0749,248.82,MORTGAGE,55000,Verified,debt_consolidation,4.23,0,0,1154,0.35,Paid
0.1349,322.07,MORTGAGE,48444,Not Verified,debt_consolidation,13.48,0,0,13274,0.718,Paid
0.0849,214.63,MORTGAGE,130000,Verified,credit_card,11.3,0,0,6502,0.156,Paid
0.1929,109.63,MORTGAGE,55000,Not Verified,debt_consolidation,7.18,0,0,7963,0.971,Paid
0.1799,456.99,MORTGAGE,37000,Verified,debt_consolidation,10.05,0,0,5381,0.366,Paid
0.0749,186.61,RENT,65000,Not Verified,debt_consolidation,18.85,0,0,21456,0.476,Paid
0.0699,444.57,RENT,43000,Not Verified,house,21.29,1,0,8496,0.25,Paid
0.0849,315.63,OWN,35000,Not Verified,small_business,10.56,0,0,1402,0.05,Paid
0.0599,304.18,MORTGAGE,50004,Not Verified,home_improvement,19.03,0,0,4748,0.111,Paid
0.1199,366.96,RENT,75000,Not Verified,debt_consolidation,5.79,0,0,15108,0.543,Paid
0.1562,699.4,MORTGAGE,80000,Source Verified,debt_consolidation,7.95,0,0,11147,0.369,Paid
0.1749,87.91,RENT,56004,Source Verified,other,21.64,1,0,46,0.017,Paid
0.1399,341.73,MORTGAGE,55000,Source Verified,debt_consolidation,16.49,1,1,9678,0.605,Paid
0.0599,91.26,MORTGAGE,112000,Source Verified,major_purchase,14.29,1,0,2247,0.072,Paid
0.1479,254.56,MORTGAGE,45000,Verified,debt_consolidation,23.84,0,0,30917,0.539,Paid
0.1099,130.94,RENT,70000,Source Verified,debt_consolidation,13.34,0,0,17325,0.728,Paid
0.1099,392.81,MORTGAGE,115800,Source Verified,debt_consolidation,14.15,0,0,59318,0.751,Paid
0.0749,311.02,RENT,90000,Source Verified,small_business,0.24,0,0,2917,0.12,Paid
0.1929,261.01,OWN,73000,Verified,debt_consolidation,22.5,0,0,26059,0.941,Notpaid
0.1199,207.39,RENT,32020,Source Verified,credit_card,15.97,0,0,15771,0.571,Paid
0.0699,185.24,RENT,34000,Source Verified,debt_consolidation,22.16,0,0,9276,0.226,Paid
0.0599,125.48,MORTGAGE,60000,Source Verified,car,12.4,1,0,5505,0.062,Paid
0.1149,148.38,RENT,42000,Not Verified,other,9.26,0,0,7247,0.937,Paid
0.0849,189.38,RENT,70000,Source Verified,major_purchase,0.62,0,0,725,0.036,Paid
0.1199,116.24,RENT,27048,Not Verified,debt_consolidation,7.01,0,0,4923,0.794,Paid
0.1349,229.48,MORTGAGE,60000,Not Verified,other,8.58,0,0,10086,0.41,Notpaid
0.1299,336.9,RENT,35238.48,Source Verified,debt_consolidation,24.01,0,1,8843,0.826,Notpaid
0.0599,365.01,MORTGAGE,75000,Source Verified,home_improvement,12.98,0,0,649,0.03,Paid
0.2174,549.43,OWN,45444,Verified,debt_consolidation,18.85,0,0,17784,0.429,Paid
0.1349,142.51,MORTGAGE,52000,Source Verified,debt_consolidation,11.54,1,0,9102,0.599,Paid
0.1751,209.19,RENT,30000,Verified,debt_consolidation,23.2,2,0,8841,0.67,Notpaid
0.1349,101.8,RENT,85000,Source Verified,credit_card,18.97,0,0,8610,0.888,Paid
0.1599,140.61,RENT,32160,Source Verified,medical,2.84,0,0,2127,0.925,Paid
0.0542,361.92,MORTGAGE,33600,Verified,debt_consolidation,21.43,0,0,10805,0.179,Paid
0.1649,59,RENT,14400,Source Verified,car,0,0,0,0,0,Paid
0.1562,244.79,RENT,27600,Source Verified,debt_consolidation,7.09,0,0,2389,0.498,Notpaid
0.0849,63.13,RENT,28800,Source Verified,car,0,0,0,0,0,Paid
0.1929,450.89,MORTGAGE,105000,Verified,debt_consolidation,4.23,5,0,718,0.16,Paid
0.1099,458.28,MORTGAGE,59000,Verified,debt_consolidation,16.92,1,0,14217,0.178,Paid
0.0599,250.95,MORTGAGE,53329,Source Verified,car,4.59,0,0,5850,0.104,Paid
0.0849,315.63,RENT,62000,Not Verified,debt_consolidation,6.54,0,0,11874,0.628,Paid
0.1199,577.85,RENT,82000,Not Verified,credit_card,12.47,0,0,26587,0.67,Paid
0.1929,130.51,RENT,36000,Source Verified,other,5.1,0,0,409,0.273,Notpaid
0.1399,348.95,RENT,121500,Source Verified,major_purchase,25.73,0,0,15496,0.505,Notpaid
0.0849,568.14,RENT,132000,Source Verified,credit_card,16.19,1,0,15485,0.77,Paid
0.1399,261.71,MORTGAGE,64000,Source Verified,debt_consolidation,12.68,0,0,29124,0.644,Notpaid
0.0749,351.45,RENT,71000,Source Verified,debt_consolidation,17.78,0,0,17124,0.765,Paid
0.1149,263.86,MORTGAGE,53000,Source Verified,debt_consolidation,5.23,0,0,4972,0.425,Paid
0.1059,102.31,MORTGAGE,45000,Verified,debt_consolidation,8.24,0,0,2672,0.262,Paid
0.1349,54.29,MORTGAGE,28500,Source Verified,home_improvement,14.44,0,0,4924,0.741,Notpaid
0.0749,311.02,MORTGAGE,73000,Not Verified,small_business,7.71,0,0,20985,0.433,Paid
0.1099,654.68,MORTGAGE,69600,Verified,debt_consolidation,23.48,0,0,9723,0.463,Notpaid
0.1349,542.89,MORTGAGE,55000,Verified,small_business,6.61,0,1,8808,0.424,Notpaid
0.1199,332.1,RENT,64000,Not Verified,small_business,7.93,1,0,14088,0.712,Paid
0.1649,122.9,RENT,48000,Source Verified,moving,9.68,0,0,8501,0.924,Notpaid
0.0749,205.28,MORTGAGE,120000,Verified,debt_consolidation,19.55,0,0,16866,0.355,Paid
0.1099,130.43,RENT,25000,Source Verified,major_purchase,14.45,0,0,5217,0.629,Paid
0.1749,125.59,OWN,40896,Not Verified,debt_consolidation,4.08,0,0,3679,0.533,Paid
0.0542,361.92,MORTGAGE,150000,Not Verified,debt_consolidation,1.55,0,0,4939,0.078,Paid
0.1689,198.35,MORTGAGE,61056,Verified,car,10.75,0,0,20008,0.908,Paid
0.1799,162.49,MORTGAGE,62000,Verified,car,23.96,0,0,30982,0.928,Paid
0.0699,74.1,MORTGAGE,38400,Not Verified,car,3.19,0,0,2958,0.332,Paid
0.2099,556.51,MORTGAGE,80400,Verified,debt_consolidation,10.49,0,0,13538,0.768,Paid
0.1199,438.12,MORTGAGE,37800,Source Verified,debt_consolidation,19.9,0,0,11440,0.364,Notpaid
0.1299,60.65,MORTGAGE,48000,Source Verified,major_purchase,24.7,0,0,11007,0.576,Notpaid
0.1749,558.85,RENT,114996,Source Verified,debt_consolidation,10.71,0,0,33869,0.352,Notpaid
